service_id,date,exception_type
28046050,20220425,1
28046050,20220613,1
28046050,20220301,1
28046050,20221101,1
28046050,20221005,1
28046050,20220616,1
28046050,20221201,1
28046050,20221208,1
28046050,20220610,1
28046048,20220425,1
28046048,20220613,1
28046048,20220301,1
28046048,20221101,1
28046048,20221005,1
28046048,20220616,1
28046048,20221201,1
28046048,20221208,1
28046048,20220610,1
28046049,20220425,1
28046049,20220613,1
28046049,20220301,1
28046049,20221101,1
28046049,20221005,1
28046049,20220616,1
28046049,20221201,1
28046049,20221208,1
28046049,20220610,1
28046051,20220425,1
28046051,20220613,1
28046051,20220301,1
28046051,20221101,1
28046051,20221005,1
28046051,20220616,1
28046051,20221201,1
28046051,20221208,1
28046051,20220610,1
28046018,20220425,1
28046018,20220613,1
28046018,20220301,1
28046018,20221101,1
28046018,20221005,1
28046018,20220616,1
28046018,20221201,1
28046018,20221208,1
28046018,20220610,1
28046024,20220425,1
28046024,20220613,1
28046024,20220301,1
28046024,20221101,1
28046024,20221005,1
28046024,20220616,1
28046024,20221201,1
28046024,20221208,1
28046024,20220610,1
28046020,20220425,1
28046020,20220613,1
28046020,20220301,1
28046020,20221101,1
28046020,20221005,1
28046020,20220616,1
28046020,20221201,1
28046020,20221208,1
28046020,20220610,1
28046022,20220425,1
28046022,20220613,1
28046022,20220301,1
28046022,20221101,1
28046022,20221005,1
28046022,20220616,1
28046022,20221201,1
28046022,20221208,1
28046022,20220610,1
28046023,20220425,1
28046023,20220613,1
28046023,20220301,1
28046023,20221101,1
28046023,20221005,1
28046023,20220616,1
28046023,20221201,1
28046023,20221208,1
28046023,20220610,1
28046021,20220425,1
28046021,20220613,1
28046021,20220301,1
28046021,20221101,1
28046021,20221005,1
28046021,20220616,1
28046021,20221201,1
28046021,20221208,1
28046021,20220610,1
28046025,20220425,1
28046025,20220613,1
28046025,20220301,1
28046025,20221101,1
28046025,20221005,1
28046025,20220616,1
28046025,20221201,1
28046025,20221208,1
28046025,20220610,1
28046019,20220425,1
28046019,20220613,1
28046019,20220301,1
28046019,20221101,1
28046019,20221005,1
28046019,20220616,1
28046019,20221201,1
28046019,20221208,1
28046019,20220610,1
28046128,20220425,1
28046128,20220613,1
28046128,20220301,1
28046128,20221101,1
28046128,20221005,1
28046128,20220616,1
28046128,20221201,1
28046128,20221208,1
28046128,20220610,1
28046130,20220425,1
28046130,20220613,1
28046130,20220301,1
28046130,20221101,1
28046130,20221005,1
28046130,20220616,1
28046130,20221201,1
28046130,20221208,1
28046130,20220610,1
28046132,20220425,1
28046132,20220613,1
28046132,20220301,1
28046132,20221101,1
28046132,20221005,1
28046132,20220616,1
28046132,20221201,1
28046132,20221208,1
28046132,20220610,1
28046133,20220425,1
28046133,20220613,1
28046133,20220301,1
28046133,20221101,1
28046133,20221005,1
28046133,20220616,1
28046133,20221201,1
28046133,20221208,1
28046133,20220610,1
28046129,20220425,1
28046129,20220613,1
28046129,20220301,1
28046129,20221101,1
28046129,20221005,1
28046129,20220616,1
28046129,20221201,1
28046129,20221208,1
28046129,20220610,1
28046131,20220425,1
28046131,20220613,1
28046131,20220301,1
28046131,20221101,1
28046131,20221005,1
28046131,20220616,1
28046131,20221201,1
28046131,20221208,1
28046131,20220610,1
28046100,20220425,1
28046100,20220613,1
28046100,20220301,1
28046100,20221101,1
28046100,20221005,1
28046100,20220616,1
28046100,20221201,1
28046100,20221208,1
28046100,20220610,1
28046106,20220425,1
28046106,20220613,1
28046106,20220301,1
28046106,20221101,1
28046106,20221005,1
28046106,20220616,1
28046106,20221201,1
28046106,20221208,1
28046106,20220610,1
28046102,20220425,1
28046102,20220613,1
28046102,20220301,1
28046102,20221101,1
28046102,20221005,1
28046102,20220616,1
28046102,20221201,1
28046102,20221208,1
28046102,20220610,1
28046104,20220425,1
28046104,20220613,1
28046104,20220301,1
28046104,20221101,1
28046104,20221005,1
28046104,20220616,1
28046104,20221201,1
28046104,20221208,1
28046104,20220610,1
28046105,20220425,1
28046105,20220613,1
28046105,20220301,1
28046105,20221101,1
28046105,20221005,1
28046105,20220616,1
28046105,20221201,1
28046105,20221208,1
28046105,20220610,1
28046103,20220425,1
28046103,20220613,1
28046103,20220301,1
28046103,20221101,1
28046103,20221005,1
28046103,20220616,1
28046103,20221201,1
28046103,20221208,1
28046103,20220610,1
28046107,20220425,1
28046107,20220613,1
28046107,20220301,1
28046107,20221101,1
28046107,20221005,1
28046107,20220616,1
28046107,20221201,1
28046107,20221208,1
28046107,20220610,1
28046101,20220425,1
28046101,20220613,1
28046101,20220301,1
28046101,20221101,1
28046101,20221005,1
28046101,20220616,1
28046101,20221201,1
28046101,20221208,1
28046101,20220610,1
